id	ts	event	users_id	stars_id	wars_id	clans_id	value	events_id	factions_id
335168	2021-01-18 20:01:06	conquered	640530	231		1072		146	970
335169	2021-01-18 20:27:07	conquered	552575	142		833		146	970
335170	2021-01-18 20:34:53	conquered	552575	250		833		146	970
335171	2021-01-18 20:39:05	conquered	552575	70		833		146	970
335172	2021-01-18 20:41:21	renamed	511003	15		1712	Royal_is	146	973
335173	2021-01-18 21:36:13	conquered	552575	22		833		146	970
335174	2021-01-18 21:36:50	conquered	640530	235		1072		146	970
335175	2021-01-18 21:44:13	conquered	574262	454		1388		146	974
335176	2021-01-18 21:45:20	conquered	552575	454		833		146	970
335177	2021-01-18 21:47:09	conquered	640530	147		1072		146	970
335178	2021-01-18 21:51:03	conquered	537669	231		750		146	973
335179	2021-01-18 21:55:06	conquered	640530	459		1072		146	970
335180	2021-01-18 21:56:14	conquered	382932	153		1072		146	970
335181	2021-01-18 21:59:27	plaqued	382932	15		1072	royal is what? who named this :p	146	970
335182	2021-01-18 22:18:37	conquered	583790	214		833		146	970
335183	2021-01-18 22:23:32	conquered	574262	22		1388		146	974
335184	2021-01-18 22:23:42	conquered	188111	102		41		146	970
335185	2021-01-18 22:23:52	conquered	382932	101		1072		146	970
335186	2021-01-18 22:23:53	conquered	552575	34		833		146	970
335187	2021-01-18 22:25:02	conquered	598052	207		1072		146	970
335188	2021-01-18 22:25:16	conquered	583790	22		833		146	970
335189	2021-01-18 22:29:59	conquered	401546	105		1072		146	970
335190	2021-01-18 22:32:15	conquered	188111	150		41		146	970
335191	2021-01-18 22:40:15	conquered	382932	185		1072		146	970
335192	2021-01-18 22:40:15	conquered	552575	58		833		146	970
335193	2021-01-18 22:53:30	conquered	382932	46		1072		146	970
335194	2021-01-18 22:53:30	conquered	552575	166		833		146	970
335195	2021-01-18 23:11:09	conquered	583790	489		833		146	970
335196	2021-01-18 23:15:13	conquered	72	80		1072		146	970
335197	2021-01-18 23:37:41	conquered	640530	27		1072		146	970
335198	2021-01-18 23:38:45	conquered	552575	197		833		146	970
335199	2021-01-18 23:44:23	conquered	640530	51		1072		146	970
335200	2021-01-19 00:03:17	conquered	591146	106		41		146	970
335201	2021-01-19 00:13:24	conquered	640530	200		1072		146	970
335202	2021-01-19 00:19:52	conquered	640530	159		1072		146	970
335203	2021-01-19 00:22:23	conquered	382932	440		1072		146	970
335204	2021-01-19 00:22:24	conquered	552575	202		833		146	970
335205	2021-01-19 00:35:53	conquered	583790	161		833		146	970
335206	2021-01-19 00:49:35	conquered	583790	53		833		146	970
335207	2021-01-19 01:34:48	conquered	640530	195		1072		146	970
335208	2021-01-19 01:41:53	conquered	640530	164		1072		146	970
335209	2021-01-19 02:00:47	conquered	663953	189		1637		146	971
335210	2021-01-19 02:18:44	conquered	663953	153		1637		146	971
335211	2021-01-19 02:47:43	conquered	738024	102		1708		146	971
335212	2021-01-19 02:53:22	conquered	162483	238		41		146	970
335213	2021-01-19 03:19:19	conquered	361	237		1072		146	970
335214	2021-01-19 03:42:30	conquered	483804	106		1708		146	971
335215	2021-01-19 03:56:32	conquered	668223	463		1523		146	973
335216	2021-01-19 04:22:54	conquered	361	233		1072		146	970
335217	2021-01-19 04:28:28	conquered	361	153		1072		146	970
335218	2021-01-19 04:30:43	conquered	663953	153		1637		146	971
335219	2021-01-19 04:39:10	conquered	361	153		1072		146	970
335220	2021-01-19 04:42:24	conquered	676035	235		1712		146	973
335221	2021-01-19 05:06:22	conquered	382932	56		1072		146	970
335222	2021-01-19 05:06:56	conquered	643387	189		1072		146	970
335223	2021-01-19 05:33:46	conquered	382932	32		1072		146	970
335224	2021-01-19 05:39:51	conquered	597006	147		1712		146	973
335225	2021-01-19 06:17:06	conquered	699603	482		1072		146	970
335226	2021-01-19 06:26:26	conquered	675198	27		1712		146	973
335227	2021-01-19 06:49:46	conquered	72	4		1072		146	970
335228	2021-01-19 07:18:10	conquered	382932	212		1072		146	970
335229	2021-01-19 07:22:09	conquered	72	184		1072		146	970
335230	2021-01-19 07:35:00	conquered	675198	51		1712		146	973
335231	2021-01-19 08:14:51	conquered	162483	102		41		146	970
335232	2021-01-19 08:17:10	conquered	598052	27		1072		146	970
335233	2021-01-19 08:27:01	conquered	676035	151		1712		146	973
335234	2021-01-19 08:40:47	conquered	676035	211		1712		146	973
335235	2021-01-19 08:43:19	conquered	382932	435		1072		146	970
335236	2021-01-19 08:47:05	conquered	676035	31		1712		146	973
335237	2021-01-19 08:47:20	conquered	663953	32		1637		146	971
335238	2021-01-19 08:56:18	conquered	519680	7		41		146	970
335239	2021-01-19 08:59:44	conquered	325989	15		1072		146	970
335240	2021-01-19 09:00:46	conquered	699734	210		1708		146	971
335241	2021-01-19 09:08:27	conquered	382932	439		1072		146	970
335242	2021-01-19 09:15:33	conquered	382932	79		1072		146	970
335243	2021-01-19 09:23:50	conquered	382932	3		1072		146	970
335244	2021-01-19 09:34:05	conquered	361	40		1072		146	970
335245	2021-01-19 09:34:13	conquered	382932	183		1072		146	970
335246	2021-01-19 09:39:48	conquered	382932	147		1072		146	970
335247	2021-01-19 09:51:36	conquered	382932	99		1072		146	970
335248	2021-01-19 09:56:46	conquered	382932	235		1072		146	970
335249	2021-01-19 09:58:36	conquered	382932	231		1072		146	970
335250	2021-01-19 10:03:14	conquered	361	497		1072		146	970
335251	2021-01-19 10:04:09	conquered	382932	486		1072		146	970
335252	2021-01-19 10:13:29	conquered	675198	15		1712		146	973
335253	2021-01-19 10:29:50	conquered	382932	463		1072		146	970
335254	2021-01-19 10:35:33	conquered	382932	211		1072		146	970
335255	2021-01-19 10:39:47	conquered	382932	31		1072		146	970
335256	2021-01-19 10:48:15	conquered	745770	44		1072		146	970
335257	2021-01-19 10:50:58	conquered	747042	463		1712		146	973
335258	2021-01-19 11:05:06	conquered	382932	151		1072		146	970
335259	2021-01-19 11:12:03	conquered	382932	463		1072		146	970
335260	2021-01-19 11:13:27	conquered	591146	10		41		146	970
335261	2021-01-19 11:17:27	conquered	361	45		1072		146	970
335262	2021-01-19 11:18:19	conquered	524393	187		1072		146	970
335263	2021-01-19 11:35:15	conquered	747042	231		1712		146	973
335264	2021-01-19 11:35:32	conquered	46630	436		1072		146	970
335265	2021-01-19 11:40:15	conquered	524393	38		1072		146	970
335266	2021-01-19 11:42:05	conquered	699603	51		1072		146	970
335267	2021-01-19 12:05:37	conquered	382932	103		1072		146	970
335268	2021-01-19 12:10:01	conquered	382932	231		1072		146	970
335269	2021-01-19 12:51:24	conquered	747042	182		1712		146	973
335270	2021-01-19 13:07:45	conquered	552575	29		833		146	970
335271	2021-01-19 13:11:26	conquered	723212	464		1072		146	970
335272	2021-01-19 13:22:31	conquered	712528	148		1072		146	970
335273	2021-01-19 13:25:55	conquered	46630	76		1072		146	970
335274	2021-01-19 13:28:36	conquered	583790	17		833		146	970
335275	2021-01-19 13:30:42	conquered	162483	106		41		146	970
335276	2021-01-19 13:33:18	conquered	381518	462		41		146	970
335277	2021-01-19 13:35:44	conquered	747042	146		1712		146	973
335278	2021-01-19 13:41:06	conquered	583790	209		833		146	970
335279	2021-01-19 13:52:46	conquered	747042	458		1712		146	973
335280	2021-01-19 14:25:27	conquered	524393	458		1072		146	970
335281	2021-01-19 14:31:23	conquered	524393	146		1072		146	970
335282	2021-01-19 14:43:40	conquered	524393	182		1072		146	970
335283	2021-01-19 15:08:10	conquered	90	17		76		146	974
335284	2021-01-19 15:30:23	conquered	552575	17		833		146	970
335285	2021-01-19 16:12:59	conquered	734692	17		76		146	974
335286	2021-01-19 16:45:54	conquered	46630	423		1072		146	970
335287	2021-01-19 16:48:03	conquered	744850	234		1708		146	971
335288	2021-01-19 16:49:22	conquered	46630	111		1072		146	970
335289	2021-01-19 16:51:11	conquered	574262	209		1388		146	974
335290	2021-01-19 17:41:25	conquered	651092	199		41		146	970
335291	2021-01-19 18:28:34	conquered	651092	194		41		146	970
335292	2021-01-19 18:35:08	conquered	765	185		76		146	974
335293	2021-01-19 19:09:52	conquered	765	101		76		146	974
335294	2021-01-19 19:10:52	conquered	709482	29		1388		146	974
335295	2021-01-19 19:35:46	conquered	640530	32		1072		146	970
335296	2021-01-19 20:10:49	conquered	552575	29		833		146	970
335297	2021-01-19 20:15:57	conquered	574262	29		1388		146	974
335298	2021-01-19 20:18:54	conquered	640530	20		1072		146	970
335299	2021-01-19 20:23:41	conquered	46630	116		1072		146	970
335300	2021-01-19 20:29:35	conquered	640530	452		1072		146	970
335301	2021-01-19 20:37:06	conquered	700524	182		1523		146	973
335302	2021-01-19 20:41:43	conquered	640530	140		1072		146	970
335303	2021-01-19 20:43:20	conquered	765	237		76		146	974
335304	2021-01-19 20:43:34	conquered	744550	116		1614		146	971
335305	2021-01-19 20:45:36	conquered	613522	234		41		146	970
335306	2021-01-19 20:52:51	conquered	700524	146		1523		146	973
335307	2021-01-19 20:55:49	conquered	188111	466		41		146	970
335308	2021-01-19 21:06:33	conquered	700524	458		1523		146	973
335309	2021-01-19 21:06:38	conquered	640530	248		1072		146	970
335310	2021-01-19 21:06:38	conquered	551384	185		1072		146	970
335311	2021-01-19 21:18:58	conquered	381518	210		41		146	970
335312	2021-01-19 21:27:09	conquered	700524	206		1523		146	973
335313	2021-01-19 21:34:23	conquered	747042	475		1712		146	973
335314	2021-01-19 21:35:14	conquered	700524	26		1523		146	973
335315	2021-01-19 21:36:35	conquered	381518	154		41		146	970
335316	2021-01-19 21:44:13	conquered	700524	14		1523		146	973
335317	2021-01-19 21:47:05	conquered	745770	8		1072		146	970
335318	2021-01-19 21:49:06	conquered	379357	56		1708		146	971
335319	2021-01-19 21:52:26	conquered	700524	446		1523		146	973
335320	2021-01-19 22:20:25	conquered	552575	29		833		146	970
335321	2021-01-19 22:24:26	conquered	700524	480		1523		146	973
335322	2021-01-19 22:26:11	conquered	583790	237		833		146	970
335323	2021-01-19 22:39:06	conquered	690012	100		1072		146	970
335324	2021-01-19 22:45:53	conquered	583790	209		833		146	970
335325	2021-01-19 23:29:13	conquered	700524	470		1523		146	973
335326	2021-01-19 23:55:31	conquered	640530	320		1072		146	970
335327	2021-01-19 23:57:36	conquered	751262	464		1614		146	971
335328	2021-01-20 00:03:57	conquered	552575	449		833		146	970
335329	2021-01-20 00:20:05	conquered	597006	207		1712		146	973
335330	2021-01-20 00:23:16	conquered	382932	461		1072		146	970
335331	2021-01-20 00:28:15	conquered	382932	477		1072		146	970
335332	2021-01-20 00:39:03	conquered	552575	65		833		146	970
335333	2021-01-20 00:43:11	conquered	640530	380		1072		146	970
335334	2021-01-20 00:44:12	conquered	583790	245		833		146	970
335335	2021-01-20 00:45:02	conquered	552575	401		833		146	970
335336	2021-01-20 00:45:02	conquered	382932	473		1072		146	970
335337	2021-01-20 00:48:18	conquered	583790	317		833		146	970
335338	2021-01-20 00:48:55	conquered	552575	413		833		146	970
335339	2021-01-20 00:52:51	conquered	583790	377		833		146	970
335340	2021-01-20 00:54:34	conquered	552575	365		833		146	970
335341	2021-01-20 00:56:22	conquered	583790	293		833		146	970
335342	2021-01-20 01:03:15	conquered	583790	305		833		146	970
335343	2021-01-20 01:03:43	conquered	552575	173		833		146	970
335344	2021-01-20 01:08:10	conquered	583790	257		833		146	970
335345	2021-01-20 01:11:23	conquered	552575	125		833		146	970
335346	2021-01-20 01:14:23	conquered	552575	281		833		146	970
335347	2021-01-20 01:16:33	conquered	583790	89		833		146	970
335348	2021-01-20 01:21:39	conquered	552575	269		833		146	970
335349	2021-01-20 01:25:53	conquered	583790	329		833		146	970
335350	2021-01-20 01:34:01	conquered	583790	389		833		146	970
335351	2021-01-20 01:39:23	conquered	583790	353		833		146	970
335352	2021-01-20 01:45:25	conquered	583790	221		833		146	970
335353	2021-01-20 02:14:22	conquered	744647	404		1072		146	970
335354	2021-01-20 03:06:08	conquered	46630	428		1072		146	970
335355	2021-01-20 03:09:13	conquered	46630	116		1072		146	970
335356	2021-01-20 03:16:23	conquered	494165	459		1712		146	973
335357	2021-01-20 03:54:38	conquered	46630	104		1072		146	970
335358	2021-01-20 04:36:35	conquered	46630	464		1072		146	970
335359	2021-01-20 04:45:06	conquered	46630	505		1072		146	970
335360	2021-01-20 05:28:39	conquered	663953	464		1637		146	971
335361	2021-01-20 05:41:23	conquered	6584	29		76		146	974
335362	2021-01-20 05:46:30	conquered	524393	470		1072		146	970
335363	2021-01-20 05:51:10	conquered	524393	480		1072		146	970
335364	2021-01-20 05:57:08	conquered	524393	446		1072		146	970
335365	2021-01-20 06:01:05	conquered	524393	14		1072		146	970
335366	2021-01-20 06:03:29	conquered	524393	26		1072		146	970
335367	2021-01-20 06:05:27	conquered	285768	146		1072		146	970
335368	2021-01-20 06:06:13	conquered	524393	206		1072		146	970
335369	2021-01-20 06:10:27	conquered	285768	182		1072		146	970
335370	2021-01-20 06:12:07	conquered	524393	458		1072		146	970
335371	2021-01-20 07:50:43	conquered	675198	235		1712		146	973
335372	2021-01-20 07:56:14	conquered	663953	212		1637		146	971
335373	2021-01-20 08:08:02	conquered	676035	27		1712		146	973
335374	2021-01-20 08:14:19	conquered	552575	341		833		146	970
335375	2021-01-20 08:17:45	conquered	676035	51		1712		146	973
335376	2021-01-20 08:24:27	conquered	745770	236		1072		146	970
335377	2021-01-20 08:27:08	conquered	676035	159		1712		146	973
335378	2021-01-20 08:33:20	conquered	552575	29		833		146	970
335379	2021-01-20 08:36:32	conquered	676035	200		1712		146	973
335380	2021-01-20 08:52:39	conquered	46630	464		1072		146	970
335381	2021-01-20 09:04:29	conquered	46630	212		1072		146	970
335382	2021-01-20 09:05:46	conquered	552575	17		833		146	970
335383	2021-01-20 09:18:37	conquered	524393	43		1072		146	970
335384	2021-01-20 09:39:19	conquered	583790	149		833		146	970
335385	2021-01-20 09:53:41	conquered	583790	101		833		146	970
335386	2021-01-20 10:19:33	conquered	361	137		1072		146	970
335387	2021-01-20 10:19:45	conquered	46630	188		1072		146	970
335388	2021-01-20 10:23:55	conquered	663953	32		1637		146	971
335389	2021-01-20 10:49:54	conquered	675198	231		1712		146	973
335390	2021-01-20 10:51:59	conquered	747042	471		1712		146	973
335391	2021-01-20 11:17:58	conquered	751262	464		1614		146	971
335392	2021-01-20 11:20:47	conquered	663953	212		1637		146	971
335393	2021-01-20 11:27:14	conquered	676035	195		1712		146	973
335394	2021-01-20 11:31:41	conquered	676035	482		1712		146	973
335395	2021-01-20 11:35:13	conquered	676035	164		1712		146	973
335396	2021-01-20 11:37:04	conquered	675198	486		1712		146	973
335397	2021-01-20 11:45:09	conquered	675198	151		1712		146	973
335398	2021-01-20 11:49:05	conquered	676035	56		1712		146	973
335399	2021-01-20 11:51:01	conquered	583790	453		833		146	970
335400	2021-01-20 11:56:04	conquered	583790	141		833		146	970
335401	2021-01-20 11:58:01	conquered	676035	32		1712		146	973
335402	2021-01-20 11:59:42	conquered	382932	213		1072		146	970
335403	2021-01-20 11:59:43	conquered	675198	463		1712		146	973
335404	2021-01-20 11:59:49	conquered	583790	249		833		146	970
335405	2021-01-20 12:05:53	conquered	676035	212		1712		146	973
